wavelength_air_A,elo_eV,eup_eV,loggf,ew_mA,network,a_1dlte,delta_nlte,a_1dnlte,aberr,a_3dnlte,term_3d_atmosphere,in_domain
5522.4458,4.2089,6.4534,-1.55,49.40904905555174,gt02,7.5859375,,,0.0366307173316294,7.622568217331629,,True
5525.477,4.2089,6.4521,-1.992,68.85585658582897,gt02,7.181640625,0.011510000000000003,7.193150625,0.0407444562524772,7.222385081252478,0.029234456252477337,True
5525.5433,4.2305,6.4738,-1.084,68.94842077247962,gt02,7.181640625,0.011510000000000003,7.193150625,0.0430698187036118,7.224710443703612,0.03155981870361124,True
5532.7462,3.5732,5.8135,-2.15,66.44469201610461,gt02,7.357421875,,,0.0306964570127201,7.38811833201272,,True
5532.8637,4.4456,6.6859,-1.525,66.00811688659485,gt02,7.375,,,0.0468164554098087,7.421816455409809,,True
5536.5801,2.8316,5.0703,-3.81,28.94472249423202,gt02,8.060546875,0.012200000000000003,8.072746875,0.0225378123078325,8.083084687307833,0.01033781230783326,True
5546.5051,4.3714,6.6061,-1.31,67.95249645930717,gt02,7.392578125,0.004170000000000001,7.396748125,0.0497192168501359,7.442297341850136,0.045549216850135466,True
5553.5765,4.4346,6.6665,-1.41,68.5237861606656,gt02,8.0078125,,,0.0448304228364974,8.052642922836498,,True
5560.2109,4.4346,6.6638,-1.19,59.777972371566825,gt02,7.2783203125,0.008340000000000002,7.2866603125,0.051885714228144,7.330206026728144,0.04354571422814413,True
5568.81,3.6352,5.861,-2.95,36.66274100444599,gt02,7.603515625,,,0.0380425185793718,7.641558143579372,,True
5584.0216,4.3714,6.5911,-2.367,30.552989892574924,gt02,6.84765625,,,0.0239292641598507,6.87158551415985,,True
5607.6637,4.1544,6.3647,-2.27,20.139000045445645,gt02,7.5859375,0.010270000000000001,7.5962075,0.0387614902776824,7.624698990277682,0.028491490277681386,True
5609.9605,3.6398,5.8492,-3.24,24.730572629589307,gt02,8.833984375,,,0.0199495957744484,8.853933970774449,,True
5611.3561,3.6352,5.8441,-2.99,12.971459542581975,gt02,7.0234375,,,0.0375028428808925,7.060940342880892,,True
5617.1896,3.2515,5.4581,-2.88,50.72139234911453,gt02,7.65625,,,,,,False
