element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4481.609,,,7.387,True,nan,3.6864,6.4521,-1.5,1,gt02,"transition energy Eup-Elo 2.7657 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7657,,,0.06861826777566218,
Fe,I,VIS,4482.739,,,7.521,True,nan,3.6537,6.4187,-1.44,1,gt02,"transition energy Eup-Elo 2.7650 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.765,,,0.07128285872076949,
Fe,I,VIS,4484.22,,,7.3,True,nan,3.6025,6.3666,-0.64,1,gt02,"transition energy Eup-Elo 2.7641 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7641,,,0.09089924742384373,
Fe,I,VIS,4488.906,,,7.397,True,nan,3.6537,6.4149,-1.72,1,gt02,"transition energy Eup-Elo 2.7612 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7612,,,0.059928537979183696,
Fe,I,VIS,4494.563,,,7.476,True,nan,2.1979,4.9556,-1.14,1,gt02,"transition energy Eup-Elo 2.7577 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 4.9556 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.7576999999999994,,,0.08740369629898695,
Fe,I,VIS,4495.391,,,6.989,True,nan,2.8852,5.6424,-3.39,1,gt02,"transition energy Eup-Elo 2.7572 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7572,,,0.043925396976103384,
Fe,I,VIS,4495.953,,,6.987,True,nan,3.6537,6.4106,-1.7,1,gt02,"transition energy Eup-Elo 2.7569 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7568999999999995,,,0.0593166705951754,
Fe,I,VIS,4514.184,,,7.528,True,nan,3.0469,5.7926,-1.96,1,gt02,"transition energy Eup-Elo 2.7457 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; lower level 3.0469 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.7457000000000003,,,0.03309515695194373,
Fe,I,VIS,4528.757,,,7.309,True,nan,3.3014,6.0383,-2.02,1,gt02,"transition energy Eup-Elo 2.7369 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7368999999999994,,,0.046154536979268204,
Fe,I,VIS,4531.636,,,7.432,True,nan,3.6343,6.3696,-1.95,1,gt02,"transition energy Eup-Elo 2.7353 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7353,,,0.062354665401151685,
Fe,I,VIS,4547.847,,,7.38,True,nan,3.5465,6.272,-0.82,1,gt02,"transition energy Eup-Elo 2.7255 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2720 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.7255000000000003,,,0.08047587615801477,
