holding,treatment,line_id,wavelength_air_A,ep_eV,abundance,in_aggregate,excluded_reason,snapshot_loggf,current_loggf,reference_loggf,delta_reference_minus_snapshot,current_gf_unchanged,reference_membership,current_grade_for_snapshot_value,grade_sigma_is_publishable,gf_source_note,sigma_A,red_chi2
solar_kpno_molecfit_corrected,ENGINE-A,gf_117440,5701.104,4.93,7.6128754545454544,True,,-2.05,-2.05,-1.95,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,67.795
solar_kpno_molecfit_corrected,ENGINE-A,gf_117470,5772.146,5.082,7.713567272727273,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,54.619
solar_kpno_molecfit_corrected,ENGINE-A,gf_117477,5793.073,4.93,,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",-1.963,-1.963,-1.96,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,GF-NIST,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,51.244
solar_kpno_molecfit_corrected,ENGINE-A,gf_117856,6741.628,5.984,,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,67.199
solar_kpno_molecfit_corrected,ENGINE-B,gf_117415,5645.613,4.93,7.532,True,,-2.043,-2.043,-2.04,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.082909734012493,117.867
solar_kpno_molecfit_corrected,ENGINE-B,gf_117437,5684.484,4.954,7.657,True,,-1.65,-1.65,-1.55,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0807429697742183,88.01
solar_kpno_molecfit_corrected,ENGINE-B,gf_117438,5690.425,4.93,7.676,True,,-1.87,-1.87,-1.77,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0516334079763293,123.177
solar_kpno_molecfit_corrected,ENGINE-B,gf_117440,5701.104,4.93,7.626,True,,-2.05,-2.05,-1.95,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0647118058629789,67.795
solar_kpno_molecfit_corrected,ENGINE-B,gf_117470,5772.146,5.082,7.732,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0530860168925321,54.619
solar_kpno_molecfit_corrected,ENGINE-B,gf_117477,5793.073,4.93,7.56,True,,-1.963,-1.963,-1.96,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,GF-NIST,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0266127292485884,51.244
solar_kpno_molecfit_corrected,ENGINE-B,gf_117856,6741.628,5.984,7.715,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.1168949853584586,67.199
solar_kpno_molecfit_corrected,1D-LTE,gf_117415,5645.613,4.93,7.532,True,,-2.043,-2.043,-2.04,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.082909734012493,117.867
solar_kpno_molecfit_corrected,1D-LTE,gf_117437,5684.484,4.954,7.657,True,,-1.65,-1.65,-1.55,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0807429697742183,88.01
solar_kpno_molecfit_corrected,1D-LTE,gf_117438,5690.425,4.93,7.676,True,,-1.87,-1.87,-1.77,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0516334079763293,123.177
solar_kpno_molecfit_corrected,1D-LTE,gf_117440,5701.104,4.93,7.626,True,,-2.05,-2.05,-1.95,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0647118058629789,67.795
solar_kpno_molecfit_corrected,1D-LTE,gf_117470,5772.146,5.082,7.732,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0530860168925321,54.619
solar_kpno_molecfit_corrected,1D-LTE,gf_117477,5793.073,4.93,7.56,True,,-1.963,-1.963,-1.96,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,GF-NIST,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0266127292485884,51.244
solar_kpno_molecfit_corrected,1D-LTE,gf_117856,6741.628,5.984,7.715,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.1168949853584586,67.199
