key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,nist_log_gf,nist_grade,nist_acc_pct,nist_ref_tp,nist_ref_line,nist_wavelength_A,nist_ei_eV,n_nist_candidates,adjudicated,delta_nist_minus_vald
40,2,Zr 2,3003.733,0.5586,-0.55,VALD3,1,,,,,,,,0,False,
66,2,Dy 2,3003.764,0.1027,-1.21,VALD3,1,,,,,,,,0,False,
68,2,Er 2,3003.8319999999994,0.0546,-1.54,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3003.834,2.5446,-3.056,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.846,3.274,-2.904,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.866,2.9488,-4.432,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3003.886,8.0384,-0.759,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3003.916,3.8644,-0.736,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3003.992,2.9826,-0.617,VALD3,1,,,,,,,,0,False,
22,2,Ti 2,3004.004,4.2828,-1.36,VALD3,1,,,,,,,,0,False,
23,2,V 2,3004.021,2.3697,-2.323,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3004.074,3.2515,-1.617,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3004.113,2.4327,-1.382,VALD3,1,-1.382265964635982,B,10.0,T5720,L11631,3004.1134,2.4326947,1,True,-0.00026596463598216324
75,1,Re 1,3004.134,1.8128,-0.21999999999999995,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3004.256,3.8143,-2.163,VALD3,1,,,,,,,,0,False,
23,1,V 1,3004.3206236812257,1.0509000000000002,-1.4600383066154907,VALD3,6,,,,,,,,0,False,
24,2,Cr 2,3004.352,6.4841,-1.968,VALD3,1,,,,,,,,0,False,
20,1,Ca 1,3004.374,1.8793,-1.998,VALD3,1,,,,,,,,0,False,
45,1,Rh 1,3004.45,1.1433,-0.56,VALD3,1,,,,,,,,0,False,
42,2,Mo 2,3004.461,3.2739,-0.78,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3004.466,4.41,-1.695,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3004.482,2.2227,-4.255,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3004.488,3.274,-4.964,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3004.6279999999997,1.5574,-2.237,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3004.686,3.2515,-3.171,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3004.702,2.9826,-3.286,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3004.749,6.1363,-0.827,VALD3,1,,,,,,,,0,False,
23,1,V 1,3004.8259193688355,1.0636000000000003,-1.1909436186674673,VALD3,12,,,,,,,,0,False,
26,1,Fe 1,3004.853,2.998,-3.377,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3004.879,2.8755,-4.555,VALD3,1,,,,,,,,0,False,
73,2,Ta 2,3004.917951150255,1.2014599999999998,0.15997633485640184,VALD3,15,,,,,,,,0,False,
24,1,Cr 1,3004.998,3.3752,-2.53,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3005.014,2.8325,-3.239,VALD3,1,,,,,,,,0,False,
23,1,V 1,3005.045,2.0395,-1.98,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3005.061,1.03,-0.25,VALD3,1,,,,,,,,0,False,
64,2,Gd 2,3005.111,0.427,-0.808,VALD3,1,,,,,,,,0,False,
25,2,Mn 2,3005.144,4.6881,-2.205,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3005.179,3.8887,-0.998,VALD3,1,,,,,,,,0,False,
77,1,Ir 1,3005.216,1.7283,-0.92,VALD3,1,,,,,,,,0,False,
22,2,Ti 2,3005.256,5.0584,-1.61,VALD3,1,,,,,,,,0,False,
39,1,Y 1,3005.259,0.0,-1.645,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3005.303,2.4041,-1.224,VALD3,1,-1.224243962155902,C,25.0,T5720,L11631,3005.3025,2.40407444,1,True,-0.0002439621559020555
22,1,Ti 1,3005.364,1.4601,-1.442,VALD3,1,,,,,,,,0,False,
40,1,Zr 1,3005.37,0.519,-0.42999999999999994,VALD3,1,,,,,,,,0,False,
28,2,Ni 2,3005.456,2.8651,-3.864,VALD3,1,,,,,,,,0,False,
40,1,Zr 1,3005.5,0.999,0.24999999999999997,VALD3,1,,,,,,,,0,False,
20,1,Ca 1,3005.524,1.8989,-3.994,VALD3,1,,,,,,,,0,False,
72,1,Hf 1,3005.553,1.3059,0.58,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3005.557,3.0922,-1.446,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3005.572,3.5465,-3.003,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3005.647,2.7079,-3.493,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3005.648,7.1388,-2.948,VALD3,1,,,,,,,,0,False,
23,2,V 2,3005.671,4.6332,-0.775,VALD3,1,,,,,,,,0,False,
20,1,Ca 1,3005.672,4.1308,-2.512,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3005.723,2.5881,-1.907,VALD3,1,,,,,,,,0,False,
41,2,Nb 2,3005.758891361567,2.143961538461539,-0.2299946321876379,VALD3,26,,,,,,,,0,False,
70,2,Yb 2,3005.765,3.9218,0.82,VALD3,1,,,,,,,,0,False,
27,1,Co 1,3005.7654469345857,1.8825500000000002,-1.0728978738325068,VALD3,16,,,,,,,,0,False,
26,1,Fe 1,3005.782,2.8316,-2.697,VALD3,1,,,,,,,,0,False,
23,2,V 2,3005.8116683669523,2.37214,-0.5430236651435982,VALD3,15,,,,,,,,0,False,
24,1,Cr 1,3005.8367851510297,2.5446,-2.3042205664393305,VALD3,2,,,,,,,,0,False,
39,2,Y 2,3005.914,3.5204,-0.745,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3005.973,2.998,-1.726,VALD3,1,,,,,,,,0,False,
27,1,Co 1,3005.975849993658,2.9274500000000003,-0.739850397628991,VALD3,22,,,,,,,,0,False,
90,2,Th 2,3006.009,0.8296,-1.262,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3006.0480000000002,3.4348,-2.797,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3006.0870000000004,1.8792,-2.24,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3006.216,3.8446,-2.333,VALD3,1,,,,,,,,0,False,
23,1,V 1,3006.229,2.0741,-0.22800000000000004,VALD3,1,,,,,,,,0,False,
25,1,Mn 1,3006.243,4.2465,-2.341,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3006.2462912969827,3.88735,-1.090945641022343,VALD3,2,,,,,,,,0,False,
63,2,Eu 2,3006.261,0.207,-2.15,VALD3,1,,,,,,,,0,False,
20,1,Ca 1,3006.3283566800933,1.8989,-0.4058959690245954,VALD3,3,,,,,,,,0,False,
23,1,V 1,3006.352,1.3505,-0.793,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3006.364,3.0133,-2.931,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3006.406,2.9674,-2.832,VALD3,1,,,,,,,,0,False,
75,1,Re 1,3006.43,1.9553,-0.15999999999999995,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3006.4382281910434,3.8889500000000004,-0.6391691081223172,VALD3,2,,,,,,,,0,False,
26,1,Fe 1,3006.448,3.3009,-2.616,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3006.478,2.2786,-5.489,VALD3,1,,,,,,,,0,False,
23,2,V 2,3006.4996493022563,2.5562,-0.8339123775200434,VALD3,13,,,,,,,,0,False,
27,1,Co 1,3006.518593425865,1.9556999999999998,-3.983945609858378,VALD3,10,,,,,,,,0,False,
26,1,Fe 1,3006.538,3.2657,-1.67,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3006.557718250326,3.2388500000000002,-0.9440027967300698,VALD3,2,,,,,,,,0,False,
22,1,Ti 1,3006.561,1.8792,-2.477,VALD3,1,,,,,,,,0,False,
44,1,Ru 1,3006.586,0.3364,-0.81,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3006.605,2.5592,-2.334,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3006.608,3.0869,-3.003,VALD3,1,,,,,,,,0,False,
25,1,Mn 1,3006.632,2.1782,-2.628,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3006.638,2.6085,-2.484,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3006.662,3.283,-2.6,VALD3,1,,,,,,,,0,False,
22,2,Ti 2,3006.712,3.9707,-1.74,VALD3,1,,,,,,,,0,False,
14,1,Si 1,3006.739,0.0096,-5.457,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3006.798,3.3014,-4.194,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3006.814,2.4688,-5.683,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3006.8581474928465,1.8792,-2.13559999201457,VALD3,2,,,,,,,,0,False,
20,1,Ca 1,3006.861,1.8989,-0.2790000000000001,VALD3,1,,,,,,,,0,False,
23,1,V 1,3006.887,2.0975,-0.21300000000000002,VALD3,1,,,,,,,,0,False,
90,2,Th 2,3006.931,1.5484,-0.05500000000000002,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3007.032,1.2508,-1.19,VALD3,1,,,,,,,,0,False,
23,2,V 2,3007.038559641498,2.556906666666667,-1.6930236651435981,VALD3,15,,,,,,,,0,False,
25,1,Mn 1,3007.085,4.3446,-1.102,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3007.09,3.8887,-0.334,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3007.144,4.2937,-4.0,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3007.145,1.4849,-1.157,VALD3,1,-1.1570165298777826,B+,7.0,T5720,L11631,3007.145,1.48486439,1,True,-1.6529877782556213e-05
58,2,Ce 2,3007.155,0.3178,-2.35,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3007.178,3.2671,-3.269,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3007.267,3.8887,-0.906,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3007.282,0.0873,-1.732,VALD3,1,-1.7316560860489354,A,3.0,T3547,L11631,3007.2822,0.08728574,1,True,0.00034391395106458944
23,2,V 2,3007.3,1.6752,-1.19,VALD3,1,,,,,,,,0,False,
20,1,Ca 1,3007.396,1.8858,-4.02,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3007.4580000000005,1.8792,-2.792,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3007.4669999999996,2.2786,-4.618,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3007.4840000000004,2.5592,-2.836,VALD3,1,,,,,,,,0,False,
27,1,Co 1,3007.599408012858,2.3278,-2.8790383066154908,VALD3,6,,,,,,,,0,False,
90,2,Th 2,3007.6439999999993,0.8307,-0.692,VALD3,1,,,,,,,,0,False,
25,1,Mn 1,3007.652671226808,3.13442,-0.6998722586694365,VALD3,15,,,,,,,,0,False,
26,1,Fe 1,3007.751,2.5881,-3.2,VALD3,1,,,,,,,,0,False,
90,2,Th 2,3007.799,1.3108,-0.29,VALD3,1,,,,,,,,0,False,
29,1,Cu 1,3007.801,5.6883,-1.277,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3007.841,3.0173,-3.868,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3007.873,0.5874,-2.31,VALD3,1,,,,,,,,0,False,
76,1,Os 1,3007.894,2.3435,-0.25,VALD3,1,,,,,,,,0,False,
92,2,U 2,3007.915,0.7027,-0.005999999999999994,VALD3,1,,,,,,,,0,False,
