wavelength_obs_A,wavelength_ritz_A,fik,gi,aki_s-1,nist_grade,ref_transition_probability,ref_line,ei_eV,log_gf,nist_acc_pct,wavelength_A,nist_sigma_dex,canon_index,species,canon_log_gf,canon_hfs_n,delta_nist_minus_canon,canon_shared_with
3032.051,3032.05695,,11.0,,,,L11631c80,2.94879294,,,3032.051,,-1,Fe I,,,,0
3033.097,3033.09963,0.00725,3.0,5260000.0,C+,T5720,L11631c80,2.42419831,-1.6625407387093438,18.0,3033.097,0.07188200730612536,146905,Fe I,-1.6625407387093438,1.0,0.0,1
3033.796,3033.79975,,5.0,,,,L11631c80,2.83159117,,,3033.796,,146928,Fe I,-3.832,1.0,,1
3034.479,3034.484,,5.0,,,,L11631c81,1.60789577,,,3034.479,,-1,Fe I,,,,0
3034.5364,3034.53511,,7.0,,,,L11631,2.99804479,,,3034.5364,,146950,Fe I,-0.996,1.0,,1
3034.592,3034.59415,,5.0,,,,L11631c80,3.03847046,,,3034.592,,146955,Fe I,-1.841,1.0,,1
3035.7354,3035.73657,,5.0,,,,L11631,3.03847046,,,3035.7354,,146984,Fe I,-0.752,1.0,,1
3037.161,3037.1606,,5.0,,,,L11631c80,2.83159117,,,3037.161,,147016,Fe I,-5.786,1.0,,1
3037.3885,3037.38855,0.0671,3.0,29100000.0,B,T5720,L11631,0.11011433,-0.6961562251113455,10.0,3037.3885,0.04139268515822508,147021,Fe I,-0.6961562251113455,1.0,0.0,1
3037.542,3037.5497,,5.0,,,,L11631c80,3.2657061,,,3037.542,,-1,Fe I,,,,0
3037.685,3037.68132,,7.0,,,,L11631c81,2.58810592,,,3037.685,,147029,Fe I,-3.386,1.0,,1
3037.7794,3037.77944,0.000476,5.0,344000.0,B,T5720,L11631,0.99011115,-2.623423042943488,10.0,3037.7794,0.04139268515822508,147032,Fe I,-2.623423042943488,1.0,0.0,1
3037.782,3037.7888,,9.0,,,,L11631c80,3.3682564,,,3037.782,,-1,Fe I,,,,0
3038.312,3038.31365,,7.0,,,,L11631c80,2.99804479,,,3038.312,,147046,Fe I,-1.466,1.0,,1
3038.974,3038.97886,,5.0,,,,L11631c80,3.03847046,,,3038.974,,147065,Fe I,-2.577,1.0,,1
3039.3169,3039.3173,0.00262,11.0,1600000.0,C+,T5720,L11631,2.4326947,-1.5403060235220296,18.0,3039.3169,0.07188200730612536,147081,Fe I,-1.5403060235220296,1.0,0.0,1
3039.598,3039.5987,,7.0,,,,L11631c81,2.99804479,,,3039.598,,147093,Fe I,-1.316,1.0,,1
3040.4271,3040.42694,0.00415,9.0,2450000.0,D+,T5720,L11631,0.91460217,-1.4277093938485823,40.0,3040.4271,0.146128035678238,147119,Fe I,-1.4277093938485823,1.0,0.0,1
3040.759,3040.7651,,5.0,,,,L11631c80,3.30092244,,,3040.759,,-1,Fe I,,,,0
3040.956,3040.94737,,7.0,,,,L11631c80,2.58810592,,,3040.956,,-1,Fe I,,,,0
3040.956,3040.963,,7.0,,,,L11631c80,2.99804479,,,3040.956,,-1,Fe I,,,,0
3041.029,3041.0297,,5.0,,,,L11631c80,2.60850194,,,3041.029,,147141,Fe I,-3.432,1.0,,1
3041.637,3041.63715,0.00756,7.0,4240000.0,B+,T5720,L11631,1.55735733,-1.2763801644845367,7.0,3041.637,0.029383777685209667,147156,Fe I,-1.2763801644845367,1.0,0.0,1
3041.7386,3041.73858,0.00927,7.0,5200000.0,D+,T5720,L11631,0.95815732,-1.187822225841246,40.0,3041.7386,0.146128035678238,147163,Fe I,-1.187822225841246,1.0,0.0,1
3041.89,3041.8971,,7.0,,,,L11631c80,3.25148176,,,3041.89,,-1,Fe I,,,,0
3042.0194,3042.0195,0.0109,3.0,4700000.0,D+,T5720,L11631,1.01105568,-1.485452247339714,40.0,3042.0194,0.146128035678238,147168,Fe I,-1.485452247339714,1.0,0.0,1
3042.6646,3042.66466,0.0101,5.0,5200000.0,C+,T5720,L11631,0.99011115,-1.2967086218813386,18.0,3042.6646,0.07188200730612536,147197,Fe I,-1.2967086218813386,1.0,0.0,1
3042.84,3042.84248,,5.0,,,,L11631c80,3.03847046,,,3042.84,,147206,Fe I,-1.8,1.0,,1
3042.84,3042.84313,,9.0,,,,L11631c80,3.0468689,,,3042.84,,-1,Fe I,,,,0
3043.796,3043.7944,,11.0,,,,L11631c80,3.33201954,,,3043.796,,147239,Fe I,-4.163,1.0,,1
3044.103,3044.1049,,13.0,,,,L11631c81,3.23672008,,,3044.103,,147251,Fe I,-2.351,1.0,,1
3044.216,3044.21433,,7.0,,,,L11631c80,3.24096914,,,3044.216,,147254,Fe I,-4.319,1.0,,1
3044.255,3044.25754,,9.0,,,,L11631c80,2.93984587,,,3044.255,,-1,Fe I,,,,0
3045.0782,3045.0783,0.000754,9.0,697000.0,B,T5720,L11631,0.91460217,-2.168386144690901,10.0,3045.0782,0.04139268515822508,147275,Fe I,-2.168386144690901,1.0,0.0,1
3045.5885,3045.58742,0.00303,9.0,1780000.0,C+,T5720,L11631,2.45343044,-1.56431486205837,18.0,3045.5885,0.07188200730612536,147286,Fe I,-1.56431486205837,1.0,0.0,1
3045.746,3045.74851,,5.0,,,,L11631c80,2.27860466,,,3045.746,,147293,Fe I,-3.214,1.0,,1
3046.505,3046.5038,,5.0,,,,L11631c80,3.2657061,,,3046.505,,147316,Fe I,-3.746,1.0,,1
3046.643,3046.6464,,5.0,,,,L11631c80,3.03847046,,,3046.643,,147321,Fe I,-3.435,1.0,,1
3046.803,3046.8046,,9.0,,,,L11631c80,2.7275445,,,3046.803,,147326,Fe I,-1.419,1.0,,1
3046.9238,3046.92395,,11.0,,,,L11631,2.4326947,,,3046.9238,,147329,Fe I,-1.78,1.0,,1
3047.0491,3047.04998,,11.0,,,,L11631,2.94879294,,,3047.0491,,147334,Fe I,-1.996,1.0,,1
3047.204,3047.2048,,3.0,,,,L11631c80,2.84504259,,,3047.204,,147342,Fe I,-2.288,1.0,,1
3047.454,3047.45144,,9.0,,,,L11631c80,2.93984587,,,3047.454,,147348,Fe I,-2.676,1.0,,1
3047.6043,3047.60437,0.0553,5.0,28400000.0,A,T3547,L11631,0.08728574,-0.558304864359283,3.0,3047.6043,0.012837224705172217,147353,Fe I,-0.558304864359283,1.0,0.0,1
3048.001,3047.99947,,5.0,,,,L11631c80,2.60850194,,,3048.001,,147364,Fe I,-4.198,1.0,,1
3049.144,3049.13992,,7.0,,,,L11631c80,2.58810592,,,3049.144,,147402,Fe I,-3.729,1.0,,1
3049.3526,3049.35161,,5.0,,,,L11631,3.03847046,,,3049.3526,,147407,Fe I,-1.246,1.0,,1
3049.538,3049.5365,,9.0,,,,L11631c80,3.21118938,,,3049.538,,147414,Fe I,-1.794,1.0,,1
3050.77,3050.76127,,9.0,,,,L11631c80,3.0468689,,,3050.77,,-1,Fe I,,,,0
3052.491,3052.4952,,9.0,,,,L11631c80,2.93984587,,,3052.491,,147488,Fe I,-0.808,1.0,,1
3053.0654,3053.06552,0.0356,3.0,15300000.0,B,T5720,L11631,2.42419831,-0.9714287473074624,10.0,3053.0654,0.04139268515822508,147502,Fe I,-0.9714287473074624,1.0,0.0,1
3053.4281,3053.42735,,9.0,,,,L11631,2.93984587,,,3053.4281,,147511,Fe I,-0.93,1.0,,1
3053.4533,3053.45402,0.000273,3.0,117000.0,C+,T5720,L11631,1.01105568,-3.086716098239582,18.0,3053.4533,0.07188200730612536,147513,Fe I,-3.086716098239582,1.0,0.0,1
3053.755,3053.75707,,7.0,,,,L11631c80,3.25148176,,,3053.755,,147522,Fe I,-2.096,1.0,,1
3053.855,3053.85941,,7.0,,,,L11631c80,2.58810592,,,3053.855,,147528,Fe I,-3.825,1.0,,1
3055.2622,3055.26232,0.00949,7.0,9480000.0,B+,T5720,L11631,1.55735733,-1.1776357475584505,7.0,3055.2622,0.029383777685209667,147571,Fe I,-1.1776357475584505,1.0,0.0,1
3055.2933,3055.29351,,9.0,,,,L11631,2.93984587,,,3055.2933,,147572,Fe I,-1.247,1.0,,1
3055.356,3055.357,,9.0,,,,L11631c80,3.3682564,,,3055.356,,147578,Fe I,-2.627,1.0,,1
3055.6815,3055.68201,,9.0,,,,L11631,2.55917148,,,3055.6815,,147586,Fe I,-2.095,1.0,,1
3056.101,3056.10192,,5.0,,,,L11631c80,3.03847046,,,3056.101,,147596,Fe I,-2.701,1.0,,1
3056.101,3056.11,,9.0,,,,L11631c80,3.3682564,,,3056.101,,-1,Fe I,,,,0
3056.2416,3056.24132,,5.0,,,,L11631,2.60850194,,,3056.2416,,147604,Fe I,-1.807,1.0,,1
3056.58,3056.57689,,5.0,,,,L11631c80,3.03847046,,,3056.58,,147608,Fe I,-1.966,1.0,,1
3057.4456,3057.44545,0.0359,11.0,31300000.0,B,T5720,L11631,0.85899575,-0.4035128662634558,10.0,3057.4456,0.04139268515822508,147638,Fe I,-0.4035128662634558,1.0,0.0,1
3057.584,3057.5829,,5.0,,,,L11631c80,3.2657061,,,3057.584,,147643,Fe I,-3.522,1.0,,1
3057.718,3057.71937,,5.0,,,,L11631c80,2.60850194,,,3057.718,,-1,Fe I,,,,0
3057.7882,3057.78755,,7.0,,,,L11631,0.95815732,,,3057.7882,,147651,Fe I,-3.097,1.0,,1
3057.957,3057.95526,,9.0,,,,L11631c80,3.21118938,,,3057.957,,-1,Fe I,,,,0
3058.038,3058.03646,,9.0,,,,L11631c80,3.21118938,,,3058.038,,-1,Fe I,,,,0
3058.078,3058.0743,,7.0,,,,L11631c81,3.3965088,,,3058.078,,147660,Fe I,-3.439,1.0,,1
3058.362,3058.36316,,9.0,,,,L11631c80,2.55917148,,,3058.362,,147671,Fe I,-2.006,1.0,,1
3058.4912,3058.4921,,13.0,,,,L11631,3.23672008,,,3058.4912,,147675,Fe I,-0.661,1.0,,1
3059.0856,3059.08538,0.0294,7.0,16300000.0,C+,T5720,L11631,0.05156912,-0.6865546295735859,18.0,3059.0856,0.07188200730612536,147691,Fe I,-0.6865546295735859,1.0,0.0,1
3059.53,3059.5279,,3.0,,,,L11631c80,3.28302483,,,3059.53,,147699,Fe I,-2.558,1.0,,1
3060.5376,3060.53751,0.00737,9.0,6750000.0,D+,T5720,L11631,2.99035244,-1.1782900027016237,40.0,3060.5376,0.146128035678238,147723,Fe I,-1.1782900027016237,1.0,0.0,1
3060.626,3060.62091,,7.0,,,,L11631c80,2.99804479,,,3060.626,,147725,Fe I,-1.608,1.0,,1
3060.7764,3060.77684,,7.0,,,,L11631,2.99804479,,,3060.7764,,147730,Fe I,-1.295,1.0,,1
3060.9831,3060.98321,0.00128,7.0,908000.0,B,T5720,L11631,1.55735733,-2.0476919903378747,10.0,3060.9831,0.04139268515822508,147734,Fe I,-2.0476919903378747,1.0,0.0,1
3061.107,3061.10544,,9.0,,,,L11631c80,2.99035244,,,3061.107,,-1,Fe I,,,,0
3061.162,3061.1582,,5.0,,,,L11631c80,2.60850194,,,3061.162,,147741,Fe I,-3.729,1.0,,1
3061.969,3061.96,,11.0,,,,L11631c80,3.33201954,,,3061.969,,-1,Fe I,,,,0
3062.164,3062.15647,,9.0,,,,L11631c80,2.99035244,,,3062.164,,-1,Fe I,,,,0
3062.826,3062.82325,,5.0,,,,L11631c80,3.2657061,,,3062.826,,147797,Fe I,-2.375,1.0,,1
3062.873,3062.86669,,11.0,,,,L11631c80,2.94879294,,,3062.873,,-1,Fe I,,,,0
3063.151,3063.14928,,7.0,,,,L11631c80,2.17594512,,,3063.151,,147808,Fe I,-2.735,1.0,,1
3063.9292,3063.92955,,3.0,,,,L11631,2.42419831,,,3063.9292,,147838,Fe I,-1.582,1.0,,1
3064.02,3064.01754,,7.0,,,,L11631c80,2.99804479,,,3064.02,,147840,Fe I,-3.577,1.0,,1
3064.695,3064.69678,,9.0,,,,L11631c80,3.21118938,,,3064.695,,147862,Fe I,-2.214,1.0,,1
3064.837,3064.838,,5.0,,,,L11631c80,3.41695281,,,3064.837,,147866,Fe I,-4.156,1.0,,1
3066.4787,3066.47863,0.01,9.0,9110000.0,B,T5720,L11631,2.7275445,-1.0457574905606752,10.0,3066.4787,0.04139268515822508,147918,Fe I,-1.0457574905606752,1.0,0.0,1
3066.486,3066.492,,11.0,,,,L11631c80,3.33201954,,,3066.486,,-1,Fe I,,,,0
3066.689,3066.68342,,11.0,,,,L11631c80,2.94879294,,,3066.689,,-1,Fe I,,,,0
3066.812,3066.8095,,3.0,,,,L11631c80,3.28302483,,,3066.812,,147930,Fe I,-2.619,1.0,,1
3066.9968,3066.9987,0.0285,11.0,17100000.0,C+,T5720,L11631,3.26711257,-0.5037624548332648,18.0,3066.9968,0.07188200730612536,147939,Fe I,-0.5037624548332648,1.0,0.0,1
3067.1181,3067.1184,0.00768,5.0,3890000.0,B+,T5720,L11631,1.60789577,-1.415668775632469,7.0,3067.1181,0.029383777685209667,147945,Fe I,-1.415668775632469,1.0,0.0,1
3067.2437,3067.24366,0.0342,9.0,31200000.0,C+,T5720,L11631,0.91460217,-0.51173138450454,18.0,3067.2437,0.07188200730612536,147951,Fe I,-0.51173138450454,1.0,0.0,1
3067.948,3067.94786,,11.0,,,,L11631,2.69240763,,,3067.948,,147969,Fe I,-1.94,1.0,,1
3068.1733,3068.17338,0.0094,5.0,11100000.0,B+,T5720,L11631,1.60789577,-1.3279021420642825,7.0,3068.1733,0.029383777685209667,147973,Fe I,-1.3279021420642825,1.0,0.0,1
3068.301,3068.3002,,9.0,,,,L11631c80,3.21118938,,,3068.301,,147981,Fe I,-2.195,1.0,,1
3068.451,3068.4459,,9.0,,,,L11631c80,3.21118938,,,3068.451,,147983,Fe I,-2.819,1.0,,1
3068.726,3068.72427,,5.0,,,,L11631c80,3.03847046,,,3068.726,,147987,Fe I,-2.83,1.0,,1
3068.94,3068.93793,,9.0,,,,L11631c80,1.48486439,,,3068.94,,147994,Fe I,-5.132,1.0,,1
3069.332,3069.33086,,5.0,,,,L11631c80,3.03847046,,,3069.332,,148009,Fe I,-3.045,1.0,,1
3069.44,3069.4306,,7.0,,,,L11631c80,3.24096914,,,3069.44,,-1,Fe I,,,,0
3070.033,3070.03517,,5.0,,,,L11631c80,3.03847046,,,3070.033,,148029,Fe I,-3.651,1.0,,1
3070.226,3070.2263,,7.0,,,,L11631c80,2.75857762,,,3070.226,,148035,Fe I,-1.234,1.0,,1
3070.54,3070.53788,,3.0,,,,L11631c80,2.42419831,,,3070.54,,148040,Fe I,-2.909,1.0,,1
3070.694,3070.7022,,3.0,,,,L11631c80,3.28302483,,,3070.694,,-1,Fe I,,,,0
3070.785,3070.78235,,3.0,,,,L11631c80,3.2739844,,,3070.785,,148049,Fe I,-2.215,1.0,,1
3071.1249,3071.1245,,9.0,,,,L11631,3.3682564,,,3071.1249,,148063,Fe I,-1.475,1.0,,1
3071.277,3071.272,,11.0,,,,L11631c80,2.94879294,,,3071.277,,148070,Fe I,-1.688,1.0,,1
3071.428,3071.42694,,5.0,,,,L11631c80,3.03847046,,,3071.428,,148076,Fe I,-3.565,1.0,,1
3071.679,3071.67883,,7.0,,,,L11631c80,2.99804479,,,3071.679,,148089,Fe I,-2.584,1.0,,1
3072.046,3072.0457,,7.0,,,,L11631c80,3.24096914,,,3072.046,,148102,Fe I,-1.436,1.0,,1
3072.293,3072.29084,,7.0,,,,L11631c80,2.99804479,,,3072.293,,148110,Fe I,-1.887,1.0,,1
3072.487,3072.4897,,5.0,,,,L11631c80,3.41695281,,,3072.487,,148117,Fe I,-1.351,1.0,,1
3073.235,3073.2339,,9.0,,,,L11631c80,3.0468689,,,3073.235,,148138,Fe I,-2.224,1.0,,1
3073.871,3073.8647,,5.0,,,,L11631c80,3.01725044,,,3073.871,,-1,Fe I,,,,0
3073.9783,3073.9785,0.00444,11.0,3830000.0,C,T5720,L11631,2.69240763,-1.3112243447271552,25.0,3073.9783,0.09691001300805642,148162,Fe I,-1.3112243447271552,1.0,0.0,1
3074.1479,3074.1484,,7.0,,,,L11631,3.01762252,,,3074.1479,,148169,Fe I,-1.894,1.0,,1
3074.693,3074.69025,,7.0,,,,L11631c80,2.58810592,,,3074.693,,148181,Fe I,-4.215,1.0,,1
