lab_source,lab_tag,species,lab_wavelength_A,lab_elo_eV,lab_loggf,lab_sigma_dex,canon_index,status,canon_wavelength_A,canon_ep_eV,canon_log_gf,canon_reference,canon_hfs_n,delta_lab_minus_canon
Belmonte2017,BEL17,Fe I,3971.322,2.692408,-0.95,0.04,53355,matched,3971.322,2.6924,-0.975,VALD3,1.0,0.025000000000000022
Belmonte2017,BEL17,Fe I,3983.956,2.727544,-0.93,0.03,53413,matched,3983.9559,2.7275,-1.021,VALD3,1.0,0.09099999999999986
Belmonte2017,BEL17,Fe I,3998.052,2.692408,-0.81,0.03,53483,matched,3998.052,2.6924,-0.91,VALD3,1.0,0.09999999999999998
Belmonte2017,BEL17,Fe I,4103.611,3.251482,-2.67,0.08,53958,matched,4103.6105,3.2515,-2.927,VALD3,1.0,0.2570000000000001
Belmonte2017,BEL17,Fe I,4104.154,2.831591,-2.4,0.04,53960,matched,4104.1533,2.8316,-5.041,VALD3,1.0,2.6410000000000005
Belmonte2017,BEL17,Fe I,4118.545,3.573219,0.27,0.03,54017,matched,4118.5443,3.5732,0.215,VALD3,1.0,0.05500000000000002
Belmonte2017,BEL17,Fe I,4120.206,2.990352,-1.23,0.03,54028,matched,4120.2062,2.9904,-1.267,VALD3,1.0,0.03699999999999992
Belmonte2017,BEL17,Fe I,4121.802,2.831591,-1.28,0.03,54031,matched,4121.8022,2.8316,-1.45,VALD3,1.0,0.16999999999999993
Belmonte2017,BEL17,Fe I,4122.516,2.845042,-1.4,0.03,54033,matched,4122.5153,2.845,-1.386,VALD3,1.0,-0.014000000000000012
Belmonte2017,BEL17,Fe I,4171.9,3.300922,-1.66,0.03,54232,matched,4171.8993,3.3009,-1.701,VALD3,1.0,0.04100000000000015
Belmonte2017,BEL17,Fe I,4199.095,3.046869,0.17,0.02,54333,matched,4199.0948,3.0469,0.155,VALD3,1.0,0.015000000000000013
Belmonte2017,BEL17,Fe I,4203.938,3.63435,-0.95,0.04,54361,matched,4203.938,3.634,-0.99,BWL,1.0,0.040000000000000036
Belmonte2017,BEL17,Fe I,4326.753,2.948793,-1.81,0.05,54917,matched,4326.753,2.949,-1.932,BWL,1.0,0.12199999999999989
Belmonte2017,BEL17,Fe I,4351.544,2.990352,-1.64,0.03,55019,matched,4351.544,2.99,-1.729,BWL,1.0,0.08900000000000019
Belmonte2017,BEL17,Fe I,4358.501,2.948793,-1.57,0.03,55041,matched,4358.499,2.949,-1.683,BWL,1.0,0.11299999999999999
Belmonte2017,BEL17,Fe I,4372.987,3.01725,-2.4,0.09,55096,matched,4372.982,3.017,-2.63,FMW,1.0,0.22999999999999998
Belmonte2017,BEL17,Fe I,4373.561,3.017622,-1.84,0.04,55099,matched,4373.561,3.018,-1.827,BWL,1.0,-0.013000000000000123
Belmonte2017,BEL17,Fe I,4408.414,2.197866,-1.74,0.03,55265,matched,4408.413,2.198,-1.775,BWL,1.0,0.03499999999999992
Belmonte2017,BEL17,Fe I,4432.568,3.573219,-1.58,0.05,55360,matched,4432.568,3.573,-1.6,FMW,1.0,0.020000000000000018
Belmonte2017,BEL17,Fe I,4447.717,2.222712,-1.36,0.03,55431,matched,4447.717,2.223,-1.342,FMW,1.0,-0.018000000000000016
Belmonte2017,BEL17,Fe I,4459.117,2.175945,-1.29,0.03,55481,matched,4459.117,2.176,-1.279,FMW,1.0,-0.01100000000000012
Belmonte2017,BEL17,Fe I,4480.137,3.046869,-1.93,0.05,55582,matched,4480.137,3.047,-1.933,BWL,1.0,0.0030000000000001137
Belmonte2017,BEL17,Fe I,4494.563,2.197866,-1.14,0.03,55642,matched,4494.563,2.198,-1.136,FMW,1.0,-0.0040000000000000036
Belmonte2017,BEL17,Fe I,4514.184,3.046869,-1.96,0.05,55698,matched,4514.184,3.047,-2.05,FMW,1.0,0.08999999999999986
Belmonte2017,BEL17,Fe I,4531.636,3.63435,-1.95,0.05,55756,matched,4531.636,3.634,-2.09,K07,1.0,0.1399999999999999
Belmonte2017,BEL17,Fe I,4547.847,3.54652,-0.82,0.02,55824,matched,4547.847,3.547,-1.012,BWL,1.0,0.19200000000000006
Belmonte2017,BEL17,Fe I,4595.358,3.301403,-1.73,0.03,55983,matched,4595.358,3.301,-1.758,BWL,1.0,0.028000000000000025
Belmonte2017,BEL17,Fe I,4630.12,2.278605,-2.58,0.05,56114,matched,4630.12,2.279,-2.587,BWL,1.0,0.007000000000000117
Belmonte2017,BEL17,Fe I,4708.969,3.639772,-2.07,0.11,56394,matched,4708.968,3.64,-2.033,BWL,1.0,-0.03699999999999992
Belmonte2017,BEL17,Fe I,4934.084,3.301403,-2.39,0.07,57082,matched,4934.084,3.301,-2.454,K07,1.0,0.06400000000000006
Belmonte2017,BEL17,Fe I,5110.358,3.573219,-1.41,0.03,57659,matched,5110.358,3.573,-1.366,BWL,1.0,-0.04399999999999982
Belmonte2017,BEL17,Fe I,5242.491,3.63435,-0.83,0.02,58072,matched,5242.491,3.634,-0.967,VALD3,1.0,0.137
Belmonte2017,BEL17,Fe I,5379.574,3.694597,-1.42,0.03,58491,matched,5379.574,3.695,-1.514,VALD3,1.0,0.09400000000000008
Belmonte2017,BEL17,Fe I,5403.822,4.075811,-0.98,0.03,58572,matched,5403.822,4.076,-1.034,BWL,1.0,0.05400000000000005
Belmonte2017,BEL17,Fe I,5532.747,3.573219,-1.89,0.06,58942,matched,5532.747,3.573,-2.05,MRW,1.0,0.15999999999999992
Belmonte2017,BEL17,Fe I,6977.429,4.59311,-1.42,0.05,62789,matched,6977.429,4.593,-1.567,K07,1.0,0.14700000000000002
Belmonte2017,BEL17,Fe I,7219.682,4.075811,-1.43,0.04,63416,matched,7219.682,4.076,-1.69,FMW,1.0,0.26
Belmonte2017,BEL17,Fe I,7307.931,4.142649,-1.15,0.03,63645,matched,7307.931,4.143,-1.531,BWL,1.0,0.381
Belmonte2017,BEL17,Fe I,7443.022,4.186364,-1.64,0.06,63992,matched,7443.022,4.186,-1.82,FMW,1.0,0.18000000000000016
Belmonte2017,BEL17,Fe I,10333.185,4.59311,-1.91,0.06,-1,absent,,,,,,
DenHartog2014,DH14,Fe I,3211.9873,2.399205,-0.31,0.03,152255,matched,3211.986,2.3992,-0.1899692135941604,NIST ASD (astroquery) T5720,1.0,-0.12003078640583958
DenHartog2014,DH14,Fe I,3217.3772,2.399205,-0.5,0.03,152402,matched,3217.377,2.3992,-0.679853713888946,NIST ASD (astroquery) T5720,1.0,0.179853713888946
DenHartog2014,DH14,Fe I,3225.7872,2.399205,0.41,0.03,152625,matched,3225.787,2.3992,0.3798491787628298,NIST ASD (astroquery) T5720,1.0,0.030150821237170167
DenHartog2014,DH14,Fe I,3227.7955,2.425433,-0.26,0.03,152690,matched,3227.795,2.4254,-0.2654401784205238,NIST ASD (astroquery) T5720,1.0,0.0054401784205238
DenHartog2014,DH14,Fe I,3228.249,2.468835,-0.78,0.04,152705,matched,3228.249,2.4688,-0.7582045687048014,NIST ASD (astroquery) T5720,1.0,-0.021795431295198675
DenHartog2014,DH14,Fe I,3228.8987,2.482118,-1.31,0.08,152720,matched,3228.898,2.4821,-1.178,VALD3,1.0,-0.13200000000000012
DenHartog2014,DH14,Fe I,3230.9636,2.44956,-0.49,0.03,152783,matched,3230.963,2.4496,-0.5421181032660076,NIST ASD (astroquery) T2491n,1.0,0.05211810326600763
DenHartog2014,DH14,Fe I,3233.9675,2.425433,-0.5,0.03,152872,matched,3233.967,2.4254,-0.5325398904927361,NIST ASD (astroquery) T5720,1.0,0.03253989049273609
DenHartog2014,DH14,Fe I,3239.4329,2.425433,-0.21,0.03,153025,matched,3239.433,2.4254,-0.3792395100057943,NIST ASD (astroquery) T5720,1.0,0.16923951000579432
DenHartog2014,DH14,Fe I,3247.2801,2.468835,-1.15,0.05,153209,matched,3247.28,2.4688,-1.093,VALD3,1.0,-0.05699999999999994
DenHartog2014,DH14,Fe I,3248.2042,2.44956,-0.67,0.03,153231,matched,3248.204,2.4496,-0.6720283763769894,NIST ASD (astroquery) T5720,1.0,0.0020283763769893826
DenHartog2014,DH14,Fe I,3254.4569,2.44956,-2.38,0.11,153422,matched,3254.454,2.4496,-2.407,VALD3,1.0,0.027000000000000135
DenHartog2014,DH14,Fe I,3259.9895,2.44956,-1.27,0.04,153573,matched,3259.989,2.4496,-1.368150537840182,NIST ASD (astroquery) T5720,1.0,0.0981505378401819
DenHartog2014,DH14,Fe I,3506.5803,2.881992,-1.68,0.12,160345,matched,3506.58,2.882,-1.798,VALD3,1.0,0.1180000000000001
DenHartog2014,DH14,Fe I,3509.7258,2.88516,-1.61,0.12,160412,matched,3509.725,2.8852,-1.929,VALD3,1.0,0.31899999999999995
DenHartog2014,DH14,Fe I,3523.3087,2.875503,-1.36,0.06,160752,matched,3523.308,2.8755,-1.2291479883578558,NIST ASD (astroquery) T5720,1.0,-0.13085201164214433
DenHartog2014,DH14,Fe I,3529.8198,2.881992,-0.43,0.02,160911,matched,3529.82,2.882,-0.3615107430453627,NIST ASD (astroquery) T5720,1.0,-0.06848925695463731
DenHartog2014,DH14,Fe I,3533.0066,2.88516,-0.37,0.02,160984,matched,3533.006,2.8852,-0.3196644865854368,NIST ASD (astroquery) T5720,1.0,-0.050335513414563215
DenHartog2014,DH14,Fe I,3540.1211,2.865391,-0.71,0.02,161159,matched,3540.121,2.8654,-0.7950664776458551,NIST ASD (astroquery) T5720,1.0,0.08506647764585518
DenHartog2014,DH14,Fe I,3570.2542,2.808293,0.65,0.02,161932,matched,3570.254,2.8083,0.805,VALD3,1.0,-0.15500000000000003
DenHartog2014,DH14,Fe I,3604.3716,2.881992,-1.59,0.09,162778,matched,3604.372,2.882,-1.479,VALD3,1.0,-0.11099999999999999
DenHartog2014,DH14,Fe I,3610.1591,2.808293,0.12,0.05,162934,matched,3610.159,2.8083,0.1746411926604484,NIST ASD (astroquery) T5720,1.0,-0.054641192660448396
DenHartog2014,DH14,Fe I,3610.6946,2.875503,-1.31,0.05,162949,matched,3610.695,2.8755,-1.2111248842245832,NIST ASD (astroquery) T5720,1.0,-0.09887511577541686
DenHartog2014,DH14,Fe I,3618.299,2.832527,-1.0,0.04,163147,matched,3618.299,2.8325,-1.063184768802367,NIST ASD (astroquery) T5720,1.0,0.06318476880236701
DenHartog2014,DH14,Fe I,3623.7731,2.865391,-1.08,0.04,163307,matched,3623.773,2.8654,-0.921,VALD3,1.0,-0.15900000000000003
DenHartog2014,DH14,Fe I,3625.1417,2.832527,-0.78,0.03,163348,matched,3625.141,2.8325,-0.8413360191860106,NIST ASD (astroquery) T5720,1.0,0.061336019186010615
DenHartog2014,DH14,Fe I,3630.3478,2.851224,-0.82,0.06,163461,matched,3630.347,2.8512,-0.8416375079047502,NIST ASD (astroquery) T5720,1.0,0.021637507904750275
DenHartog2014,DH14,Fe I,3645.0748,2.851224,-1.31,0.04,163824,matched,3645.075,2.8512,-1.283078926833239,NIST ASD (astroquery) T5720,1.0,-0.026921073166761067
DenHartog2014,DH14,Fe I,3735.3238,2.939846,-0.32,0.03,166037,matched,3735.324,2.9398,-0.2937090427412365,NIST ASD (astroquery) T5720,1.0,-0.026290957258763514
DenHartog2014,DH14,Fe I,3742.6166,2.939846,-0.81,0.03,166199,matched,3742.617,2.9398,-0.8934691461776187,NIST ASD (astroquery) T5720,1.0,0.08346914617761869
DenHartog2014,DH14,Fe I,3769.9874,2.998045,-1.07,0.04,166916,matched,3769.987,2.998,-0.732,VALD3,1.0,-0.3380000000000001
DenHartog2014,DH14,Fe I,3790.6547,3.03847,-1.53,0.06,52474,matched,3790.6536,3.0385,-1.545,VALD3,1.0,0.014999999999999902
DenHartog2014,DH14,Fe I,3793.4806,2.998045,-1.13,0.04,52487,matched,3793.4801,2.998,-0.922,VALD3,1.0,-0.20799999999999985
DenHartog2014,DH14,Fe I,3809.5643,2.998045,-1.5,0.08,52545,matched,3809.5638,2.998,-1.553,VALD3,1.0,0.052999999999999936
DenHartog2014,DH14,Fe I,3928.0829,3.211189,-0.77,0.03,53114,matched,3928.0829,3.2112,-0.93,VALD3,1.0,0.16000000000000003
DenHartog2014,DH14,Fe I,3941.2753,3.265706,-1.03,0.04,53186,matched,3941.2753,3.2657,-1.01,VALD3,1.0,-0.020000000000000018
DenHartog2014,DH14,Fe I,3955.3413,3.283025,-1.05,0.04,53259,matched,3955.3412,3.283,-1.01,VALD3,1.0,-0.040000000000000036
DenHartog2014,DH14,Fe I,3963.1005,3.283025,-0.68,0.03,53301,matched,3963.1002,3.283,-0.7,VALD3,1.0,0.019999999999999907
DenHartog2014,DH14,Fe I,3965.5088,3.240969,-1.55,0.04,53312,matched,3965.5086,3.241,-1.778,VALD3,1.0,0.22799999999999998
DenHartog2014,DH14,Fe I,3966.4995,3.29184,-0.97,0.04,53320,matched,3966.4991,3.2918,-0.776,VALD3,1.0,-0.19399999999999995
DenHartog2014,DH14,Fe I,3984.934,3.283025,-2.15,0.1,53419,matched,3984.9343,3.283,-2.346,VALD3,1.0,0.19600000000000017
DenHartog2014,DH14,Fe I,3996.2623,3.29184,-2.35,0.07,53473,matched,3996.26,3.2918,-2.259,VALD3,1.0,-0.09100000000000019
DenHartog2014,DH14,Fe I,4058.217,3.211189,-1.18,0.03,53760,matched,4058.2166,3.2112,-1.112,VALD3,1.0,-0.06799999999999984
DenHartog2014,DH14,Fe I,4067.9777,3.211189,-0.53,0.03,53804,matched,4067.9777,3.2112,-0.472,VALD3,1.0,-0.05800000000000005
DenHartog2014,DH14,Fe I,4070.7707,3.240969,-0.87,0.03,53819,matched,4070.7702,3.241,-0.79,VALD3,1.0,-0.07999999999999996
DenHartog2014,DH14,Fe I,4073.7623,3.265706,-0.97,0.03,53826,matched,4073.7619,3.2657,-0.902,VALD3,1.0,-0.06799999999999995
DenHartog2014,DH14,Fe I,4076.6291,3.211189,-0.59,0.02,53836,matched,4076.6288,3.2112,-0.529,VALD3,1.0,-0.06099999999999994
DenHartog2014,DH14,Fe I,4080.2092,3.283025,-1.18,0.07,53855,matched,4080.209,3.283,-1.22,VALD3,1.0,0.040000000000000036
DenHartog2014,DH14,Fe I,4084.4915,3.332019,-0.54,0.02,53876,matched,4084.4915,3.332,-0.71,VALD3,1.0,0.16999999999999993
DenHartog2014,DH14,Fe I,4097.0834,3.283025,-1.77,0.06,53933,matched,4097.0831,3.283,-1.69,VALD3,1.0,-0.08000000000000007
DenHartog2014,DH14,Fe I,4098.1758,3.240969,-0.97,0.03,53936,matched,4098.1754,3.241,-0.879,VALD3,1.0,-0.09099999999999997
DenHartog2014,DH14,Fe I,4104.1136,3.265706,-1.27,0.04,53959,matched,4104.1134,3.2657,-1.046,VALD3,1.0,-0.22399999999999998
DenHartog2014,DH14,Fe I,4106.4229,3.396509,-1.5,0.04,53969,matched,4106.4221,3.3965,-1.497,VALD3,1.0,-0.0029999999999998916
DenHartog2014,DH14,Fe I,4108.133,3.240969,-2.0,0.13,53980,matched,4108.1299,3.241,-2.14,VALD3,1.0,0.14000000000000012
DenHartog2014,DH14,Fe I,4109.0561,3.29184,-1.55,0.05,53983,matched,4109.0561,3.2918,-1.56,VALD3,1.0,0.010000000000000009
DenHartog2014,DH14,Fe I,4112.3185,3.396509,-1.56,0.07,53990,matched,4112.3185,3.3965,-1.75,VALD3,1.0,0.18999999999999995
DenHartog2014,DH14,Fe I,4127.7843,3.283025,-1.61,0.04,54054,matched,4127.7844,3.283,-1.4,VALD3,1.0,-0.2100000000000002
DenHartog2014,DH14,Fe I,4131.9354,3.416953,-1.64,0.1,54069,matched,4131.9345,3.417,-1.331,VALD3,1.0,-0.30899999999999994
DenHartog2014,DH14,Fe I,4133.8557,3.368256,-1.13,0.03,54079,matched,4133.8553,3.3683,-1.311,VALD3,1.0,0.18100000000000005
DenHartog2014,DH14,Fe I,4140.4024,3.416953,-1.6,0.07,54107,matched,4140.4025,3.417,-1.215,VALD3,1.0,-0.385
DenHartog2014,DH14,Fe I,4150.2491,3.43019,-1.19,0.04,54145,matched,4150.2487,3.4302,-1.26,VALD3,1.0,0.07000000000000006
DenHartog2014,DH14,Fe I,4158.7924,3.43019,-0.7,0.03,54179,matched,4158.792,3.4302,-0.67,VALD3,1.0,-0.029999999999999916
DenHartog2014,DH14,Fe I,4245.3444,3.332019,-1.43,0.04,54545,matched,4245.344,3.332,-1.43,GESHRL14,1.0,0.0
DenHartog2014,DH14,Fe I,4259.9992,3.332019,-1.4,0.05,54610,matched,4259.999,3.332,-1.39,GESHRL14,1.0,-0.010000000000000009
DenHartog2014,DH14,Fe I,4278.2314,3.368256,-1.58,0.05,54691,matched,4278.23,3.368,-1.69,GESHRL14,1.0,0.10999999999999988
DenHartog2014,DH14,Fe I,4286.8645,3.416953,-2.2,0.09,54732,matched,4286.863,3.417,-2.2,GESHRL14,1.0,0.0
DenHartog2014,DH14,Fe I,4287.9385,3.43019,-1.95,0.11,54737,matched,4287.94,3.43,-1.95,GESHRL14,1.0,0.0
DenHartog2014,DH14,Fe I,4289.0824,3.368256,-1.17,0.03,54746,matched,4289.08,3.368,-1.17,GESHRL14,1.0,0.0
DenHartog2014,DH14,Fe I,4289.9146,3.396509,-1.74,0.07,54748,matched,4289.915,3.397,-1.75,GESHRL14,1.0,0.010000000000000009
