element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,7090.3835,kpno_solar_atlas,77.99685303906922,"PROFILE-FIT (voigt), model integrated; chi2_red=7.557e-05; sigma_fit=0.0390 A (init 0.0407, floor 0.0060); ew_err=1.17 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0708",7.62109375,-4.958592645210123,1D-LTE,True,
Fe,I,7091.9211,kpno_solar_atlas,20.954862036541616,"PROFILE-FIT (voigt), model integrated; chi2_red=1.304e-05; sigma_fit=0.0172 A (init 0.0407, floor 0.0060); ew_err=3.94 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0708",7.392578125,-5.529479089430132,1D-LTE,True,
Fe,I,7095.4067,kpno_solar_atlas,37.31148733792948,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001547; sigma_fit=0.0123 A (init 0.0407, floor 0.0060); ew_err=1.58 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0708",7.76171875,-5.279134732181697,1D-LTE,True,
Fe,I,7107.4594,kpno_solar_atlas,30.94888727309909,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001099; sigma_fit=0.0137 A (init 0.0408, floor 0.0060); ew_err=1.26 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0708",6.9794921875,-5.3610693484007275,1D-LTE,True,
Fe,I,7112.1674,kpno_solar_atlas,40.63739556673783,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001534; sigma_fit=0.0148 A (init 0.0408, floor 0.0060); ew_err=3.79 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0708",7.69140625,-5.243076103707035,1D-LTE,True,
Fe,I,7120.0212,kpno_solar_atlas,38.72443019298778,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0002378; sigma_fit=0.2805 A (init 0.0408, floor 0.0060); ew_err=3.14 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0708,lm0712",8.25390625,-5.264496250666294,1D-LTE,True,
Fe,I,7132.9862,kpno_solar_atlas,50.33175476171914,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001438; sigma_fit=0.0351 A (init 0.0409, floor 0.0061); ew_err=1.73 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0712",7.62109375,-5.151429311939038,1D-LTE,True,
Fe,I,7142.5166,kpno_solar_atlas,46.79146668739906,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0003611; sigma_fit=0.0220 A (init 0.0410, floor 0.0061); ew_err=1.77 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0712",7.568359375,-5.183684599955999,1D-LTE,True,
Fe,I,7145.3223,kpno_solar_atlas,50.46026543748643,"PROFILE-FIT (voigt), model integrated; chi2_red=4.887e-05; sigma_fit=0.0199 A (init 0.0410, floor 0.0061); ew_err=0.99 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0712",7.5859375,-5.151072292325196,1D-LTE,True,
Fe,I,7190.1222,kpno_solar_atlas,42.54163438268582,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0004032; sigma_fit=0.1732 A (init 0.0412, floor 0.0061); ew_err=42.29 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0716",8.2890625,-5.227922100716091,1D-LTE,True,
Fe,I,7219.6816,kpno_solar_atlas,53.32420910014643,"PROFILE-FIT (voigt), model integrated; chi2_red=8.578e-05; sigma_fit=0.0415 A (init 0.0414, floor 0.0061); ew_err=4.35 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0720",7.638671875,-5.131593622128272,1D-LTE,True,
Fe,I,7221.2017,kpno_solar_atlas,52.46557809510114,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0003103; sigma_fit=0.0267 A (init 0.0414, floor 0.0061); ew_err=3.79 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0720",7.919921875,-5.138735013196287,1D-LTE,True,
Fe,I,7306.5617,kpno_solar_atlas,50.68003847211233,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001769; sigma_fit=0.0376 A (init 0.0419, floor 0.0062); ew_err=2.61 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0728",7.427734375,-5.158876120135077,1D-LTE,True,
Fe,I,7307.9306,kpno_solar_atlas,89.07983261230402,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0007757; sigma_fit=0.0700 A (init 0.0419, floor 0.0062); ew_err=18.49 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0728",7.744140625,-4.91401502211763,1D-LTE,True,
Fe,I,7320.6685,kpno_solar_atlas,91.97029685783204,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001691; sigma_fit=0.1213 A (init 0.0420, floor 0.0062); ew_err=2.86 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0728,lm0732",7.744140625,-4.900903152965868,1D-LTE,True,
Fe,I,7320.8331,kpno_solar_atlas,92.11553375653548,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001846; sigma_fit=0.1206 A (init 0.0420, floor 0.0062); ew_err=2.93 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0728,lm0732",7.76171875,-4.9002276330097665,1D-LTE,True,
Fe,I,7330.1371,kpno_solar_atlas,37.89032503740039,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0003489; sigma_fit=0.4000 A (init 0.0420, floor 0.0062); ew_err=107.79 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0732",8.18359375,-5.2865837667584845,1D-LTE,True,
Fe,I,7366.37,kpno_solar_atlas,38.55587958042605,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0003511; sigma_fit=0.0407 A (init 0.0422, floor 0.0063); ew_err=13.97 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0736",8.130859375,-5.281162913734104,1D-LTE,True,
Fe,I,7401.5894,kpno_solar_atlas,51.775290933131295,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001052; sigma_fit=0.0244 A (init 0.0424, floor 0.0063); ew_err=2.87 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0736,lm0740",7.427734375,-5.155202441188829,1D-LTE,True,
Fe,I,7401.6826,kpno_solar_atlas,51.736588255409394,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0009752; sigma_fit=0.0248 A (init 0.0424, floor 0.0063); ew_err=2.89 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0736,lm0740",7.427734375,-5.155532671698296,1D-LTE,True,
Fe,I,7418.6663,kpno_solar_atlas,56.61923136467261,"PROFILE-FIT (voigt), model integrated; chi2_red=9.105e-05; sigma_fit=0.0413 A (init 0.0425, floor 0.0063); ew_err=1.42 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0740",7.4453125,-5.117361867166297,1D-LTE,True,
Fe,I,7435.5909,kpno_solar_atlas,31.990895855816685,"PROFILE-FIT (voigt), model integrated; chi2_red=1.553e-05; sigma_fit=0.0335 A (init 0.0426, floor 0.0063); ew_err=0.48 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0740",7.4453125,-5.36628908523441,1D-LTE,True,
Fe,I,7440.911,kpno_solar_atlas,70.7676811862494,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0002916; sigma_fit=0.0243 A (init 0.0427, floor 0.0063); ew_err=2.32 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0740,lm0744",7.69140625,-5.0217911445148244,1D-LTE,True,
Fe,I,7443.0217,kpno_solar_atlas,46.91673430882442,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001391; sigma_fit=0.0188 A (init 0.0427, floor 0.0063); ew_err=1.26 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0744",7.638671875,-5.2004215102238724,1D-LTE,True,
Fe,I,7447.3931,kpno_solar_atlas,43.85662415091464,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001254; sigma_fit=0.0222 A (init 0.0427, floor 0.0063); ew_err=3.25 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0744",7.779296875,-5.229969079107382,1D-LTE,True,
Fe,I,7453.9966,kpno_solar_atlas,17.521550465004264,"PROFILE-FIT (voigt), model integrated; chi2_red=9.979e-06; sigma_fit=0.0184 A (init 0.0427, floor 0.0063); ew_err=0.50 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0744",7.708984375,-5.628816656492709,1D-LTE,True,
Fe,I,7461.5194,kpno_solar_atlas,34.1638461910776,"PROFILE-FIT (voigt), model integrated; chi2_red=4.711e-05; sigma_fit=0.0308 A (init 0.0428, floor 0.0063); ew_err=18.14 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0744",7.708984375,-5.339260514528853,1D-LTE,True,
Fe,I,7471.7402,kpno_solar_atlas,12.088660318045092,"PROFILE-FIT (voigt), model integrated; chi2_red=3.317e-05; sigma_fit=0.4000 A (init 0.0428, floor 0.0063); ew_err=32.11 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0744",7.568359375,-5.791043588208148,1D-LTE,True,
Fe,I,7476.3747,kpno_solar_atlas,40.50141381723184,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0004729; sigma_fit=0.1893 A (init 0.0429, floor 0.0063); ew_err=8.95 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0744",7.884765625,-5.266220875402651,1D-LTE,True,
Fe,I,7482.2226,kpno_solar_atlas,43.98986696228785,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0005095; sigma_fit=0.2586 A (init 0.0429, floor 0.0064); ew_err=10.68 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0744,lm0748",7.6474609375,-5.23067797598993,1D-LTE,True,
Fe,I,7491.6468,kpno_solar_atlas,76.08734883082265,"PROFILE-FIT (voigt), model integrated; chi2_red=5.322e-05; sigma_fit=0.0462 A (init 0.0430, floor 0.0064); ew_err=0.97 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0748",7.55078125,-4.993264842094299,1D-LTE,True,
Fe,I,7498.5298,kpno_solar_atlas,24.39194591137364,"PROFILE-FIT (voigt), model integrated; chi2_red=3.07e-05; sigma_fit=0.0266 A (init 0.0430, floor 0.0064); ew_err=0.75 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0748",7.708984375,-5.487729673427247,1D-LTE,True,
Fe,I,7507.265,kpno_solar_atlas,69.11195375325171,"PROFILE-FIT (voigt), model integrated; chi2_red=2.229e-05; sigma_fit=0.0435 A (init 0.0430, floor 0.0064); ew_err=2.72 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0748",7.97265625,-5.035928575973192,1D-LTE,True,
Fe,I,7514.1982,kpno_solar_atlas,21.43817206366088,"PROFILE-FIT (voigt), model integrated; chi2_red=1.38e-05; sigma_fit=0.0321 A (init 0.0431, floor 0.0064); ew_err=0.81 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0748",7.3486328125,-5.544694893882407,1D-LTE,True,
Fe,I,7540.4291,kpno_solar_atlas,15.350733221343296,"PROFILE-FIT (voigt), model integrated; chi2_red=1.449e-05; sigma_fit=0.0255 A (init 0.0432, floor 0.0064); ew_err=0.91 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0752",7.638671875,-5.691266936582172,1D-LTE,True,
Fe,I,7559.7188,kpno_solar_atlas,46.82623475444821,"PROFILE-FIT (voigt), model integrated; chi2_red=3.175e-05; sigma_fit=0.0240 A (init 0.0433, floor 0.0064); ew_err=0.78 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0752,lm0756",7.90234375,-5.208016403235489,1D-LTE,True,
Fe,I,7568.8981,kpno_solar_atlas,88.12886814594148,"PROFILE-FIT (voigt), model integrated; chi2_red=4.148e-05; sigma_fit=0.0453 A (init 0.0434, floor 0.0064); ew_err=2.32 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0756",7.498046875,-4.9339144659343335,1D-LTE,True,
Fe,I,7583.7875,kpno_solar_atlas,91.564508133034,"PROFILE-FIT (voigt), model integrated; chi2_red=3.28e-05; sigma_fit=0.0537 A (init 0.0435, floor 0.0064); ew_err=0.75 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0756",7.515625,-4.918158988637087,1D-LTE,True,
Fe,I,7710.3626,kpno_solar_atlas,80.62427964537028,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001025; sigma_fit=0.0320 A (init 0.0442, floor 0.0065); ew_err=2.67 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0768",7.322265625,-4.980608955001921,1D-LTE,True,
Fe,I,7719.0583,kpno_solar_atlas,34.17976210026501,"PROFILE-FIT (voigt), model integrated; chi2_red=1.007e-05; sigma_fit=0.0394 A (init 0.0443, floor 0.0066); ew_err=1.07 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0768,lm0772",7.83203125,-5.3537952854569415,1D-LTE,True,
Fe,I,7723.2067,kpno_solar_atlas,56.10285391905154,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0005056; sigma_fit=0.0128 A (init 0.0443, floor 0.0066); ew_err=2.61 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0772",7.9375,-5.138812704109943,1D-LTE,True,
Fe,I,7745.5127,kpno_solar_atlas,28.479964894195493,"PROFILE-FIT (voigt), model integrated; chi2_red=3.97e-05; sigma_fit=0.0245 A (init 0.0444, floor 0.0066); ew_err=4.54 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0772",7.603515625,-5.434510720740571,1D-LTE,True,
Fe,I,7746.5948,kpno_solar_atlas,22.802418141145825,"PROFILE-FIT (voigt), model integrated; chi2_red=5.229e-06; sigma_fit=0.0400 A (init 0.0444, floor 0.0066); ew_err=5.24 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0772",7.55078125,-5.5311299346636575,1D-LTE,True,
Fe,I,7751.1084,kpno_solar_atlas,51.992002229765326,"PROFILE-FIT (voigt), model integrated; chi2_red=6.754e-06; sigma_fit=0.0471 A (init 0.0444, floor 0.0066); ew_err=0.47 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0772",7.515625,-5.173427267997227,1D-LTE,True,
Fe,I,7802.4727,kpno_solar_atlas,20.149307737611817,"PROFILE-FIT (voigt), model integrated; chi2_red=8.996e-06; sigma_fit=0.0326 A (init 0.0447, floor 0.0066); ew_err=0.28 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0776,lm0780",7.744140625,-5.587972127954116,1D-LTE,True,
Fe,I,7807.9084,kpno_solar_atlas,68.99720308514148,"PROFILE-FIT (voigt), model integrated; chi2_red=1.286e-05; sigma_fit=0.0468 A (init 0.0448, floor 0.0066); ew_err=0.38 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0780",7.533203125,-5.053703223423596,1D-LTE,True,
Fe,I,7810.814,kpno_solar_atlas,70.30366079920529,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0005469; sigma_fit=0.3181 A (init 0.0448, floor 0.0066); ew_err=7.39 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0780",8.640625,-5.04571835615055,1D-LTE,True,
Fe,I,7844.5582,kpno_solar_atlas,16.36018006544234,"PROFILE-FIT (voigt), model integrated; chi2_red=1.385e-05; sigma_fit=0.0301 A (init 0.0450, floor 0.0067); ew_err=0.52 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0784",7.65625,-5.680780410104567,1D-LTE,True,
Fe,I,7879.7564,kpno_solar_atlas,25.66694777808596,"PROFILE-FIT (voigt), model integrated; chi2_red=2.317e-05; sigma_fit=0.0518 A (init 0.0452, floor 0.0067); ew_err=6.90 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0784,lm0788",7.97265625,-5.487138564639685,1D-LTE,True,
Fe,I,7912.8656,kpno_solar_atlas,63.20443808009266,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001384; sigma_fit=0.0133 A (init 0.0454, floor 0.0067); ew_err=4.20 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0788",7.796875,-5.097586214719384,1D-LTE,True,
Fe,I,7941.0872,kpno_solar_atlas,48.852196441012254,"PROFILE-FIT (voigt), model integrated; chi2_red=4.54e-05; sigma_fit=0.0422 A (init 0.0455, floor 0.0067); ew_err=4.06 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0792",7.357421875,-5.210995870190991,1D-LTE,True,
Fe,I,7941.8316,kpno_solar_atlas,34.704270144626896,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001982; sigma_fit=0.1311 A (init 0.0455, floor 0.0067); ew_err=29.33 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0792",8.166015625,-5.359537758654626,1D-LTE,True,
Fe,I,7955.6915,kpno_solar_atlas,30.84680841071529,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0002287; sigma_fit=0.0263 A (init 0.0456, floor 0.0068); ew_err=2.48 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0792",7.55078125,-5.4114676979507035,1D-LTE,True,
Fe,I,7959.1507,kpno_solar_atlas,31.476644707587862,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0002738; sigma_fit=0.0114 A (init 0.0456, floor 0.0068); ew_err=9.87 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0792,lm0796",7.673828125,-5.4028782958008,1D-LTE,True,
Fe,I,8002.5755,kpno_solar_atlas,20.534447654016383,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001573; sigma_fit=0.0894 A (init 0.0459, floor 0.0068); ew_err=7.13 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0800",7.357421875,-5.5907467546969585,1D-LTE,True,
Fe,I,8024.5426,kpno_solar_atlas,49.3476753560087,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0006159; sigma_fit=0.4000 A (init 0.0460, floor 0.0068); ew_err=28.11 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0800",9.677734375,-5.211153587964408,1D-LTE,True,
Fe,I,8047.6165,kpno_solar_atlas,69.95758140353401,"PROFILE-FIT (voigt), model integrated; chi2_red=2.823e-05; sigma_fit=0.0439 A (init 0.0461, floor 0.0068); ew_err=2.28 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0804",7.796875,-5.060832485901173,1D-LTE,True,
Fe,I,8080.5447,kpno_solar_atlas,57.38992020247371,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0002372; sigma_fit=0.0729 A (init 0.0463, floor 0.0069); ew_err=5.52 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0804,lm0808",7.990234375,-5.148605016156001,1D-LTE,True,
Fe,I,8090.3248,kpno_solar_atlas,39.980485507984135,"PROFILE-FIT (voigt), model integrated; chi2_red=8.225e-05; sigma_fit=0.0783 A (init 0.0464, floor 0.0069); ew_err=3.86 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0808",8.130859375,-5.306117893737971,1D-LTE,True,
Fe,I,8207.7414,kpno_solar_atlas,75.74520771572678,"PROFILE-FIT (voigt), model integrated; chi2_red=3.358e-05; sigma_fit=0.0497 A (init 0.0471, floor 0.0070); ew_err=2.06 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0820",7.515625,-5.034868503845148,1D-LTE,True,
Fe,I,8239.1267,kpno_solar_atlas,52.52729663949128,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0002511; sigma_fit=0.0392 A (init 0.0472, floor 0.0070); ew_err=12.87 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0820,lm0824",7.375,-5.195496131365895,1D-LTE,True,
Fe,I,8248.1281,kpno_solar_atlas,77.2212496167284,"PROFILE-FIT (voigt), model integrated; chi2_red=0.00115; sigma_fit=0.0301 A (init 0.0473, floor 0.0070); ew_err=12.36 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0824",7.796875,-5.028618572042553,1D-LTE,True,
Fe,I,8358.5202,kpno_solar_atlas,28.881460787413047,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001174; sigma_fit=0.0378 A (init 0.0479, floor 0.0071); ew_err=9.02 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0832,lm0836",7.48046875,-5.461510240841697,1D-LTE,True,
Fe,I,8360.7934,kpno_solar_atlas,66.49877278826268,"PROFILE-FIT (voigt), model integrated; chi2_red=1.171e-05; sigma_fit=0.0482 A (init 0.0479, floor 0.0071); ew_err=8.01 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0832,lm0836",7.533203125,-5.09943386127648,1D-LTE,True,
Fe,I,8365.6313,kpno_solar_atlas,77.55628914720997,"PROFILE-FIT (voigt), model integrated; chi2_red=4.346e-05; sigma_fit=0.0528 A (init 0.0480, floor 0.0071); ew_err=2.98 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0836",7.55078125,-5.032881698805799,1D-LTE,True,
Fe,I,8471.7428,kpno_solar_atlas,42.77878828810599,"PROFILE-FIT (voigt), model integrated; chi2_red=3.797e-05; sigma_fit=0.0459 A (init 0.0486, floor 0.0072); ew_err=1.55 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0844",7.48046875,-5.296744283236386,1D-LTE,True,
Fe,I,8481.9803,kpno_solar_atlas,30.50415665849872,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001363; sigma_fit=0.0177 A (init 0.0486, floor 0.0072); ew_err=1.65 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0844,lm0848",7.5595703125,-5.44413823679184,1D-LTE,True,
Fe,I,8515.1084,kpno_solar_atlas,95.0967790809873,"PROFILE-FIT (voigt), model integrated; chi2_red=0.000168; sigma_fit=0.0529 A (init 0.0488, floor 0.0072); ew_err=27.71 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0848",7.62109375,-4.952024373365714,1D-LTE,True,
Fe,I,8582.2574,kpno_solar_atlas,85.93953818470743,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001018; sigma_fit=0.0572 A (init 0.0492, floor 0.0073); ew_err=2.82 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0856",7.55078125,-4.999408520223646,1D-LTE,True,
Fe,I,8592.9506,kpno_solar_atlas,64.71652181428078,"PROFILE-FIT (voigt), model integrated; chi2_red=0.000114; sigma_fit=0.0496 A (init 0.0493, floor 0.0073); ew_err=1.83 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0856",8.04296875,-5.123127146985166,1D-LTE,True,
Fe,I,8598.8187,kpno_solar_atlas,68.21043010188255,"PROFILE-FIT (voigt), model integrated; chi2_red=6.695e-05; sigma_fit=0.0360 A (init 0.0493, floor 0.0073); ew_err=0.87 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0856,lm0860",7.55078125,-5.100588004263946,1D-LTE,True,
Fe,I,8607.0802,kpno_solar_atlas,25.739766430274297,"PROFILE-FIT (voigt), model integrated; chi2_red=2.096e-05; sigma_fit=0.0267 A (init 0.0494, floor 0.0073); ew_err=1.97 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0860",7.83203125,-5.524251248022901,1D-LTE,True,
Fe,I,8613.9394,kpno_solar_atlas,38.230305145421845,"PROFILE-FIT (voigt), model integrated; chi2_red=1.353e-05; sigma_fit=0.0394 A (init 0.0494, floor 0.0073); ew_err=0.37 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0860",7.7177734375,-5.352794047657831,1D-LTE,True,
Fe,I,8615.3112,kpno_solar_atlas,11.892555950606626,"PROFILE-FIT (voigt), model integrated; chi2_red=3.388e-06; sigma_fit=0.0315 A (init 0.0494, floor 0.0073); ew_err=11.30 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0860",9.044921875,-5.85999576622718,1D-LTE,True,
Fe,I,8616.2653,kpno_solar_atlas,48.40008570747632,"PROFILE-FIT (voigt), model integrated; chi2_red=2.168e-06; sigma_fit=0.0542 A (init 0.0494, floor 0.0073); ew_err=2.15 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0860",7.216796875,-5.250472931985377,1D-LTE,True,
Fe,I,8621.6006,kpno_solar_atlas,78.52521116573097,"PROFILE-FIT (voigt), model integrated; chi2_red=2.815e-05; sigma_fit=0.0580 A (init 0.0494, floor 0.0073); ew_err=2.62 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0860",7.568359375,-5.0405787871195225,1D-LTE,True,
