# RYA-398 graded (independent-gf) non-Fe EW line-pool curation — Ti
# Single source: measured EW = data/measured/sol_ew_results_v1.csv;
#   atomic data (loggf/EP/nist_grade/loggf_reference) = data/linelists/canonical_gf.csv.
# Cull criteria (FIXED in advance, abundance-BLIND, uniform across elements):
#   WEAK  ew_mA < 5
#   SAT   log(EW/λ) > -4.9  (linear-COG knee) OR ew_mA > 100
#   HIERR ew_err/ew > 0.5
#   BLEND measured blend_flag OR strength-weighted contaminant opacity > 0.5
#         (NOT vald_proximity_flag — that crude flag was the known silent bug)
#   BADGF nist_grade in {D,E,F}
#   GRADE gf not in ACCEPTED_GF_TIERS {HIGH,MED} — i.e. Kurucz-theoretical (K03-K10/KP) or unreferenced gf (RYA-398 independent-gf cull)
# gf_flag=GF_UNVERIFIED marks ungraded/Kurucz-theoretical gf (LOW tier).
# Abundances (A_lte) are reported as VALIDATION only — never used to choose culls.
element,ion,wavelength_air_A,ew_mA,ew_err_mA,err_frac,rew,log_gf,excitation_potential_eV,nist_grade,loggf_reference,gf_tier,blend_ratio,A_lte,cull_reason,kept,gf_flag
Ti,I,5832.47563,40.67,34.28,0.8428817310056552,-5.15657876043992,0.209,3.337,,K10,LOW,5.086032020545712e-05,5.979,"HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,5841.17343,13.92,8.07,0.5797413793103449,-5.622860865773203,0.567,3.319,,K10,LOW,0.0018736066529266933,4.925,"HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,5869.19822,28.56,48.17,1.6866246498599442,-5.312820574052732,-2.481,1.067,,K10,LOW,0.00031183627464478094,6.181,"HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,5903.31486,19.91,8.69,0.43646408839779005,-5.472024687400776,-2.089,1.067,,1983MNRAS.,MED,3.849038570276672e-06,5.571,,True,
Ti,I,5905.78322,65.87,1.75,0.026567481402763018,-4.952589838096173,-0.947,3.154,,K10,LOW,0.00021238908786464061,7.47,GRADE,False,GF_UNVERIFIED
Ti,I,5913.72713,150.04,15.1,0.10063982937883231,-4.595654226045659,-4.039,0.021,,K10,LOW,0.00421789691318613,8.882,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5944.66017,9.29,2.69,0.28955866523143164,-5.806111318970802,-3.845,0.0,,K10,LOW,0.00013563573400576432,5.861,GRADE,False,GF_UNVERIFIED
Ti,I,5953.15927,111.63,13.87,0.12424975365045239,-4.726966577020509,-0.273,1.887,,1986MNRAS.,MED,0.0,6.443,SAT,False,
Ti,I,5957.3567,110.53,15.75,0.14249525015832806,-4.731573434475128,-0.495,3.148,,K10,LOW,0.0001472233930264873,7.776,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5969.13621,45.17,6.69,0.14810715076378128,-5.121061398629567,-0.583,3.128,,K10,LOW,0.018952789261915605,6.656,GRADE,False,GF_UNVERIFIED
Ti,I,5982.53149,58.17,18.38,0.3159704314938972,-5.012185929470767,-1.372,2.408,,K10,LOW,1.2329331605267778e-05,7.031,GRADE,False,GF_UNVERIFIED
